2019-09-05 21:51:35,922 INFO <module> :Start CV
2019-09-05 21:59:12,636 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 2.357948, cost: 0.028926, cost_chiquare:0.027798, cost_l1:0.001109, cost_ltsv:0.000027
2019-09-05 21:59:17,165 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.357948, cost: 0.028640, cost_chiquare:0.027528, cost_l1:0.001082, cost_ltsv:0.000027
2019-09-05 21:59:21,689 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.143589, cost: 0.028522, cost_chiquare:0.027399, cost_l1:0.001094, cost_ltsv:0.000028
2019-09-05 21:59:26,209 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 2.143589, cost: 0.028490, cost_chiquare:0.027370, cost_l1:0.001092, cost_ltsv:0.000029
2019-09-05 21:59:30,742 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 2.143589, cost: 0.028482, cost_chiquare:0.027362, cost_l1:0.001090, cost_ltsv:0.000029
2019-09-05 21:59:35,342 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 2.593742, cost: 0.028475, cost_chiquare:0.027354, cost_l1:0.001092, cost_ltsv:0.000029
2019-09-05 21:59:39,842 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 2.357948, cost: 0.028467, cost_chiquare:0.027348, cost_l1:0.001091, cost_ltsv:0.000028
2019-09-05 21:59:44,379 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 2.357948, cost: 0.028462, cost_chiquare:0.027342, cost_l1:0.001091, cost_ltsv:0.000029
2019-09-05 21:59:48,744 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 1.464100, cost: 0.028457, cost_chiquare:0.027336, cost_l1:0.001092, cost_ltsv:0.000029
2019-09-05 21:59:53,481 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 2.593742, cost: 0.028453, cost_chiquare:0.027332, cost_l1:0.001091, cost_ltsv:0.000030
2019-09-05 21:59:57,816 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 1.464100, cost: 0.028450, cost_chiquare:0.027327, cost_l1:0.001091, cost_ltsv:0.000032
2019-09-05 22:00:02,435 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.948717, cost: 0.028447, cost_chiquare:0.027323, cost_l1:0.001091, cost_ltsv:0.000033
