2019-09-05 23:52:20,325 INFO <module> :Start CV
2019-09-05 23:59:07,296 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 550/1000,  L: 1.610510, cost: 0.029657, cost_chiquare:0.029621, cost_l1:0.000000, cost_ltsv:0.000037
2019-09-05 23:59:11,931 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 600/1000,  L: 2.357948, cost: 0.029651, cost_chiquare:0.029612, cost_l1:0.000000, cost_ltsv:0.000039
2019-09-05 23:59:16,432 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 650/1000,  L: 2.357948, cost: 0.029646, cost_chiquare:0.029604, cost_l1:0.000000, cost_ltsv:0.000042
2019-09-05 23:59:20,744 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 700/1000,  L: 1.331000, cost: 0.029643, cost_chiquare:0.029598, cost_l1:0.000000, cost_ltsv:0.000044
2019-09-05 23:59:25,368 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 750/1000,  L: 1.948717, cost: 0.029639, cost_chiquare:0.029592, cost_l1:0.000000, cost_ltsv:0.000047
2019-09-05 23:59:29,954 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 800/1000,  L: 2.593742, cost: 0.029637, cost_chiquare:0.029588, cost_l1:0.000000, cost_ltsv:0.000049
2019-09-05 23:59:34,381 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 850/1000,  L: 2.143589, cost: 0.029635, cost_chiquare:0.029584, cost_l1:0.000000, cost_ltsv:0.000051
2019-09-05 23:59:38,777 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 900/1000,  L: 1.610510, cost: 0.029633, cost_chiquare:0.029581, cost_l1:0.000000, cost_ltsv:0.000053
2019-09-05 23:59:43,365 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 950/1000,  L: 2.143589, cost: 0.029632, cost_chiquare:0.029578, cost_l1:0.000000, cost_ltsv:0.000054
2019-09-05 23:59:47,602 INFO cv :4/10, l1: -9/-6, ltsv: -5/-1. elapsed time: 90.251348
2019-09-05 23:59:48,264 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 56.179323, cost_chiquare:31.233068, cost_l1:0.000001, cost_ltsv:0.000204
2019-09-05 23:59:52,808 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 50/1000,  L: 2.853117, cost: 0.028880, cost_chiquare:0.028805, cost_l1:0.000000, cost_ltsv:0.000035
2019-09-05 23:59:57,307 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 100/1000,  L: 2.357948, cost: 0.027834, cost_chiquare:0.027812, cost_l1:0.000000, cost_ltsv:0.000027
2019-09-06 00:00:01,824 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 150/1000,  L: 2.143589, cost: 0.027547, cost_chiquare:0.027518, cost_l1:0.000000, cost_ltsv:0.000027
2019-09-06 00:00:06,405 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 200/1000,  L: 2.357948, cost: 0.027429, cost_chiquare:0.027399, cost_l1:0.000000, cost_ltsv:0.000028
2019-09-06 00:00:10,478 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 250/1000,  L: 1.610510, cost: 0.027398, cost_chiquare:0.027369, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-06 00:00:14,445 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 300/1000,  L: 2.143589, cost: 0.027389, cost_chiquare:0.027360, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-06 00:00:18,384 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 350/1000,  L: 2.357948, cost: 0.027382, cost_chiquare:0.027353, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-06 00:00:22,320 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 400/1000,  L: 2.593742, cost: 0.027375, cost_chiquare:0.027346, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-06 00:00:26,127 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 450/1000,  L: 1.948717, cost: 0.027370, cost_chiquare:0.027341, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-06 00:00:30,029 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 500/1000,  L: 2.143589, cost: 0.027365, cost_chiquare:0.027336, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-06 00:00:33,874 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 550/1000,  L: 1.771561, cost: 0.027361, cost_chiquare:0.027330, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-06 00:00:37,639 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 600/1000,  L: 1.210000, cost: 0.027358, cost_chiquare:0.027326, cost_l1:0.000000, cost_ltsv:0.000032
2019-09-06 00:00:41,734 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 650/1000,  L: 2.593742, cost: 0.027355, cost_chiquare:0.027322, cost_l1:0.000000, cost_ltsv:0.000033
2019-09-06 00:00:45,549 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 700/1000,  L: 2.143589, cost: 0.027353, cost_chiquare:0.027319, cost_l1:0.000000, cost_ltsv:0.000034
2019-09-06 00:00:49,341 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 750/1000,  L: 1.610510, cost: 0.027352, cost_chiquare:0.027316, cost_l1:0.000000, cost_ltsv:0.000035
