2019-09-05 16:00:42,127 INFO <module> :Start CV
2019-09-05 16:05:38,250 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.143589, cost: 0.029826, cost_chiquare:0.028716, cost_l1:0.001081, cost_ltsv:0.000028
2019-09-05 16:05:42,858 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 2.593742, cost: 0.029785, cost_chiquare:0.028674, cost_l1:0.001081, cost_ltsv:0.000030
2019-09-05 16:05:47,386 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 1.771561, cost: 0.029773, cost_chiquare:0.028663, cost_l1:0.001079, cost_ltsv:0.000030
2019-09-05 16:05:52,065 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 2.357948, cost: 0.029766, cost_chiquare:0.028655, cost_l1:0.001081, cost_ltsv:0.000030
2019-09-05 16:05:56,719 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 1.771561, cost: 0.029759, cost_chiquare:0.028648, cost_l1:0.001080, cost_ltsv:0.000030
2019-09-05 16:06:01,631 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 1.948717, cost: 0.029753, cost_chiquare:0.028642, cost_l1:0.001080, cost_ltsv:0.000030
2019-09-05 16:06:06,251 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 1.464100, cost: 0.029747, cost_chiquare:0.028636, cost_l1:0.001081, cost_ltsv:0.000031
2019-09-05 16:06:10,899 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 1.771561, cost: 0.029743, cost_chiquare:0.028631, cost_l1:0.001080, cost_ltsv:0.000032
2019-09-05 16:06:15,416 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 1.610510, cost: 0.029739, cost_chiquare:0.028626, cost_l1:0.001080, cost_ltsv:0.000033
2019-09-05 16:06:20,207 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.948717, cost: 0.029736, cost_chiquare:0.028621, cost_l1:0.001080, cost_ltsv:0.000035
2019-09-05 16:06:24,727 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 1.610510, cost: 0.029734, cost_chiquare:0.028617, cost_l1:0.001080, cost_ltsv:0.000036
2019-09-05 16:06:29,199 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.331000, cost: 0.029732, cost_chiquare:0.028614, cost_l1:0.001080, cost_ltsv:0.000038
2019-09-05 16:06:33,749 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.464100, cost: 0.029730, cost_chiquare:0.028611, cost_l1:0.001080, cost_ltsv:0.000039
2019-09-05 16:06:38,310 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.610510, cost: 0.029729, cost_chiquare:0.028609, cost_l1:0.001080, cost_ltsv:0.000040
2019-09-05 16:06:42,803 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 1.464100, cost: 0.029728, cost_chiquare:0.028607, cost_l1:0.001080, cost_ltsv:0.000041
