2019-09-09 18:16:30,023 INFO <module> :Start solver w/o CV
2019-09-09 19:24:14,873 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.50, Current iteration: 0/1000,  L: 3.452271, cost: 58.808873, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.064655
2019-09-09 19:24:19,958 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.50, Current iteration: 50/1000,  L: 2.593742, cost: 0.135989, cost_chiquare:0.044720, cost_l1:0.087673, cost_ltsv:0.003728
2019-09-09 19:24:24,856 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.50, Current iteration: 100/1000,  L: 2.357948, cost: 0.132304, cost_chiquare:0.039675, cost_l1:0.091843, cost_ltsv:0.000791
2019-09-09 19:24:29,956 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.50, Current iteration: 150/1000,  L: 2.593742, cost: 0.131884, cost_chiquare:0.042786, cost_l1:0.088454, cost_ltsv:0.000642
2019-09-09 19:24:34,393 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.25, Current iteration: 0/1000,  L: 3.452271, cost: 58.856492, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.114975
2019-09-09 19:24:39,147 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.25, Current iteration: 50/1000,  L: 2.593742, cost: 0.136951, cost_chiquare:0.047170, cost_l1:0.085360, cost_ltsv:0.004467
2019-09-09 19:24:44,259 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.25, Current iteration: 100/1000,  L: 2.593742, cost: 0.132584, cost_chiquare:0.039689, cost_l1:0.091971, cost_ltsv:0.000930
2019-09-09 19:24:49,343 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.25, Current iteration: 150/1000,  L: 2.853117, cost: 0.132294, cost_chiquare:0.042638, cost_l1:0.088780, cost_ltsv:0.000871
2019-09-09 19:24:54,526 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.25, Current iteration: 200/1000,  L: 2.593742, cost: 0.132184, cost_chiquare:0.042356, cost_l1:0.089065, cost_ltsv:0.000764
2019-09-09 19:24:58,383 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.00, Current iteration: 0/1000,  L: 3.452271, cost: 58.941170, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.204457
2019-09-09 19:25:03,589 INFO mfista_func_healpix :l1:-3.00, ltsv:-2.00, Current iteration: 50/1000,  L: 2.593742, cost: 0.137085, cost_chiquare:0.051159, cost_l1:0.082365, cost_ltsv:0.003906
